track,scoring_components
p10_synthetic_project,constraint_spec:0.6|explanation:0.1|signoff:0.3
p11_flow_handoff,explanation:0.1|handoff_consistency:0.55|manifest_correctness:0.15|signoff:0.2
p12_multifact_handoff,artifact_consistency:0.35|explanation:0.1|provenance_report_consistency:0.15|scenario_clock_consistency:0.25|signoff:0.15
p13_trajectory_handoff,evidence_generation:0.25|explanation:0.1|final_artifact_consistency:0.25|provenance_consistency:0.1|scenario_clock_consistency:0.15|signoff:0.15
p14_workflow_handoff,authority_consistency:0.1|evidence_generation:0.25|explanation:0.1|final_state:0.15|hazard_recovery:0.1|provenance:0.1|signoff:0.1|stage_chain:0.1
p1_rtl_debug,compile:0.1|explanation:0.1|hidden_test:0.5|public_test:0.3
p2_tb_sva_gen,compile:0.1|golden_pass:0.2|mutant_1:0.35|mutant_2:0.35
p3_timing_report_qa,answer_match:1.0
p4_spice_sim,explanation:0.1|hidden_metric:0.2|output_generated:0.2|public_metric:0.2|tool_run:0.3
p5_spice_deck_debug,execution_pass:0.9|explanation:0.1
p6_dc_constraint_debug,constraint_pass:0.6|execution_pass:0.3|explanation:0.1
p6_dc_synthesis_qa,answer_match:1.0
p7_primetime_sta_debug,execution_pass:0.3|explanation:0.1|timing_check:0.6
p7_spyglass_lint_debug,explanation:0.1|lint_pass:0.9
p8_pnr_report_qa,answer_match:0.9|explanation:0.1
p9_pt_exception_debug,exception_check:0.6|execution_pass:0.3|explanation:0.1
